source,target,type,capacity
PEK,IAD,Directed,309
PEK,JFK,Directed,309
PEK,CDG,Directed,309
PEK,FCO,Directed,309
PEK,YUL,Directed,309
PEK,FRA,Directed,309
PEK,ARN,Directed,309
PEK,SVO,Directed,309
PEK,LHR,Directed,309
JFK,PEK,Directed,309
MAD,GRU,Directed,309
AKL,PEK,Directed,309
LAX,PEK,Directed,309
PEK,CGK,Directed,309
PEK,LAX,Directed,309
CAN,URC,Directed,184
PEK,YVR,Directed,309
PEK,SFO,Directed,309
SIN,CTU,Directed,184
PEK,ZYI,Directed,184
PEK,SIN,Directed,309
PEK,KUL,Directed,309
KIX,CTU,Directed,184
ZHA,PEK,Directed,184
SYX,TSN,Directed,184
PEK,CNX,Directed,184
PEK,KMG,Directed,184
BKK,PEK,Directed,184
PEK,HKG,Directed,184
HKG,DLC,Directed,184
BCN,PEK,Directed,309
KMG,TSN,Directed,184
SYD,PEK,Directed,309
PEK,DXB,Directed,309
HKT,HGH,Directed,184
PEK,SZX,Directed,309
HKG,PEK,Directed,309
WNZ,CTU,Directed,184
PEK,HKT,Directed,184
PEK,CAN,Directed,309
CTU,FOC,Directed,184
CXR,CKG,Directed,184
PEK,HKG,Directed,184
URC,PEK,Directed,184
SHA,CTU,Directed,309
PEK,CTU,Directed,184
TSA,TSN,Directed,184
XMN,PEK,Directed,184
CTU,HGH,Directed,184
NRT,PVG,Directed,184
HND,PEK,Directed,309
SYX,PEK,Directed,309
CTU,CMB,Directed,309
PEK,MIG,Directed,184
ZUH,CKG,Directed,184
PEK,CKG,Directed,184
SYD,CTU,Directed,309
MXP,PVG,Directed,309
SZX,PEK,Directed,309
LHW,HGH,Directed,184
PEK,SZX,Directed,309
CTU,TNA,Directed,184
CAN,CTU,Directed,184
HKG,CKG,Directed,184
CSX,TSN,Directed,184
PEK,SZX,Directed,309
CKG,DXB,Directed,309
AKU,LHW,Directed,184
CKG,HAK,Directed,184
SHE,WUH,Directed,184
BAR,TSN,Directed,184
BKK,CTU,Directed,184
PEK,DYG,Directed,184
SHA,PEK,Directed,309
TPE,PEK,Directed,309
CAN,PEK,Directed,309
CAN,HGH,Directed,184
PEK,WMT,Directed,184
PVG,INC,Directed,184
CKG,PEK,Directed,184
TSN,HRB,Directed,184
PEK,GMP,Directed,184
XIY,HGH,Directed,184
HGH,HAK,Directed,184
PVG,KWL,Directed,184
CTU,URC,Directed,184
SZX,CTU,Directed,184
PEK,CKG,Directed,309
KWE,TSN,Directed,184
ZUH,PEK,Directed,309
WNZ,PEK,Directed,184
PEK,HGH,Directed,184
KWE,YCU,Directed,184
KRY,PEK,Directed,184
PEK,CKG,Directed,184
GVA,PEK,Directed,309
TSA,CKG,Directed,184
KRL,TSN,Directed,184
WUH,PEK,Directed,184
MUC,PEK,Directed,309
SHE,PEK,Directed,184
LXA,CTU,Directed,184
DAX,SZX,Directed,184
PEK,MNL,Directed,309
DLU,CGO,Directed,184
CKG,KHN,Directed,184
PEK,CTU,Directed,309
INC,PEK,Directed,184
CTU,PVG,Directed,184
PVG,PEK,Directed,309
WNZ,KMG,Directed,184
PEK,RGN,Directed,184
CKG,SZX,Directed,184
HMI,PEK,Directed,184
CTU,SZX,Directed,184
KWL,TSN,Directed,184
YBP,PEK,Directed,184
CDG,CTU,Directed,309
KHG,CTU,Directed,184
CTU,ZHA,Directed,184
CTU,SYX,Directed,184
XIY,PEK,Directed,184
XNN,PEK,Directed,184
CDG,PEK,Directed,309
CTU,CAN,Directed,184
INC,HGH,Directed,184
SZX,CTU,Directed,184
LHW,PEK,Directed,184
PVG,SYD,Directed,309
CGQ,PVG,Directed,184
CTU,PEK,Directed,184
HAK,WDS,Directed,184
XNN,CTU,Directed,184
PEK,HFE,Directed,184
WUH,CAN,Directed,184
KMG,PVG,Directed,184
SYX,CKG,Directed,184
TYN,HGH,Directed,184
CDG,PVG,Directed,309
KHN,PEK,Directed,184
PVG,CKG,Directed,184
YCU,CAN,Directed,184
SHA,TSN,Directed,184
CTU,ZUH,Directed,184
TPE,CTU,Directed,184
WUH,SZX,Directed,184
WNZ,CAN,Directed,184
PEK,CSX,Directed,184
XIY,PVG,Directed,184
PEK,WUH,Directed,184
TAO,PEK,Directed,184
CTU,HAK,Directed,184
SZX,TSN,Directed,184
PEK,HGH,Directed,184
PEK,SHE,Directed,184
PEK,SHA,Directed,309
SHA,PEK,Directed,309
URC,PEK,Directed,184
CAN,PEK,Directed,309
CTU,KWL,Directed,184
WUH,ZUH,Directed,184
CTU,HKT,Directed,184
CAN,CKG,Directed,184
HGH,PEK,Directed,184
SHA,CAN,Directed,309
WUH,XMN,Directed,184
CKG,INC,Directed,184
PEK,BOM,Directed,309
PEK,CTU,Directed,309
DQA,PEK,Directed,184
CXR,HGH,Directed,184
KWE,PEK,Directed,184
CKG,HGH,Directed,184
KOW,PEK,Directed,184
PEK,BKK,Directed,309
HND,PEK,Directed,184
NNG,PEK,Directed,184
PEK,CGQ,Directed,184
JDZ,PEK,Directed,184
YIH,PEK,Directed,184
PEK,NGB,Directed,184
TSN,BKK,Directed,184
XIY,PEK,Directed,184
HAK,PVG,Directed,184
PEK,URC,Directed,184
PEK,SGN,Directed,184
CZX,PEK,Directed,184
HFE,CTU,Directed,184
PEK,HRB,Directed,184
CGQ,WUH,Directed,184
TSN,INC,Directed,184
CKG,CAN,Directed,184
BKK,PEK,Directed,309
KMG,TSN,Directed,184
CAN,TSN,Directed,184
PEK,XMN,Directed,184
PVG,AMS,Directed,309
LGG,PVG,Directed,309
ANC,ORD,Directed,309
PVG,LAX,Directed,309
ABJ,NIM,Directed,184
ABJ,DSS,Directed,184
YHU,YMT,Directed,184
HND,CTS,Directed,309
SDJ,CTS,Directed,184
CTS,HND,Directed,184
HND,CTS,Directed,184
FRA,FLR,Directed,184
FRA,TRN,Directed,184
TRN,MUC,Directed,184
CLJ,MUC,Directed,184
PSA,MUC,Directed,184
FLR,MUC,Directed,184
BRI,MUC,Directed,184
MAD,TLV,Directed,309
FRA,MAD,Directed,184
VCE,MAD,Directed,184
DUS,MAD,Directed,184
LGW,MAD,Directed,184
AMS,MAD,Directed,309
ZRH,MAD,Directed,184
LPA,MAD,Directed,184
BCN,MAD,Directed,309
MAD,TFN,Directed,184
VLC,CDG,Directed,184
LEI,BCN,Directed,184
ALC,MAD,Directed,184
PMI,MAD,Directed,184
LCG,MAD,Directed,184
LIS,MAD,Directed,184
ACE,MAD,Directed,184
GRX,PMI,Directed,184
CDG,AGP,Directed,184
SPC,TFN,Directed,184
MAD,MXP,Directed,184
CDG,EZE,Directed,309
CDG,SCL,Directed,309
ICN,CDG,Directed,309
KIX,CDG,Directed,309
NRT,CDG,Directed,309
PEK,CDG,Directed,309
LIM,CDG,Directed,309
WUH,CDG,Directed,309
HND,CDG,Directed,309
BKK,CDG,Directed,309
LAX,CDG,Directed,309
NBO,CDG,Directed,309
CDG,JFK,Directed,309
BOG,CDG,Directed,309
CDG,IAH,Directed,309
CDG,BKO,Directed,309
CDG,GRU,Directed,309
CDG,MIA,Directed,309
CDG,BOM,Directed,309
CDG,DEL,Directed,309
CDG,BLR,Directed,309
CDG,LAX,Directed,309
CDG,RBA,Directed,184
CDG,PNR,Directed,309
CDG,ATL,Directed,309
CDG,SFO,Directed,309
ORY,BES,Directed,184
CDG,NIM,Directed,309
CDG,TNR,Directed,309
ORY,CAY,Directed,309
CDG,MEX,Directed,309
CDG,PUJ,Directed,309
CAI,CDG,Directed,309
CDG,SXM,Directed,309
CDG,TLV,Directed,184
CDG,ORD,Directed,309
CDG,ALG,Directed,184
NCE,CDG,Directed,184
CMN,CDG,Directed,184
CDG,FIH,Directed,309
FLR,CDG,Directed,184
ORY,PTP,Directed,309
CDG,BLQ,Directed,184
TLS,CDG,Directed,184
MRS,ORY,Directed,184
VCE,CDG,Directed,184
CDG,VIE,Directed,184
CDG,MXP,Directed,184
NCE,NTE,Directed,184
ORY,TLN,Directed,184
CDG,MAD,Directed,184
CDG,CMN,Directed,184
MAD,CDG,Directed,184
ARN,CDG,Directed,184
LHR,CDG,Directed,184
CDG,CPH,Directed,184
MRS,CDG,Directed,184
CDG,LBV,Directed,309
BIQ,ORY,Directed,184
CDG,DUB,Directed,184
CDG,AMS,Directed,184
GVA,CDG,Directed,184
ORY,MRS,Directed,184
CDG,PRG,Directed,184
CDG,VCE,Directed,184
WAW,CDG,Directed,184
CDG,NCE,Directed,184
ORY,CLY,Directed,184
ORY,BOD,Directed,184
CDG,CUN,Directed,309
AMS,CDG,Directed,184
NCE,ORY,Directed,184
CDG,RBA,Directed,184
CDG,GVA,Directed,184
CDG,SVO,Directed,184
CDG,MAN,Directed,184
CDG,MPL,Directed,184
CDG,MUC,Directed,184
FDF,CAY,Directed,184
CDG,HAM,Directed,184
CDG,NSI,Directed,309
CDG,MRS,Directed,184
CDG,ZRH,Directed,184
CDG,TLS,Directed,184
CDG,KIX,Directed,309
MRS,ORY,Directed,184
LED,CDG,Directed,184
RUN,TNR,Directed,309
YQL,YYC,Directed,184
CPH,SFJ,Directed,309
JSU,SFJ,Directed,184
GOH,SFJ,Directed,184
DLC,KWL,Directed,184
SHE,WUT,Directed,184
KWL,MIG,Directed,184
XMN,XUZ,Directed,184
XUZ,KWE,Directed,184
KWL,HAK,Directed,184
ENH,CGO,Directed,184
KWL,WUH,Directed,184
NRT,HKG,Directed,309
KIX,HKG,Directed,309
PEN,SGN,Directed,309
BOM,EWR,Directed,309
DEL,SFO,Directed,309
BOM,LHR,Directed,309
DEL,SIN,Directed,184
DEL,CDG,Directed,309
ATQ,BHX,Directed,309
DEL,FRA,Directed,309
DEL,SYD,Directed,309
DEL,PVG,Directed,309
DEL,CPH,Directed,309
LHR,DEL,Directed,309
DEL,MXP,Directed,309
DEL,LHR,Directed,309
DXB,COK,Directed,309
DEL,MAD,Directed,309
HKG,DEL,Directed,309
DEL,COK,Directed,184
CCU,BKK,Directed,184
HYD,DEL,Directed,184
GAU,DEL,Directed,184
IXC,BOM,Directed,184
DEL,GAU,Directed,184
DEL,PNQ,Directed,184
CCU,BOM,Directed,184
DEL,JED,Directed,309
BOM,RUH,Directed,184
BLR,DEL,Directed,184
BLR,GOI,Directed,184
CMB,MAA,Directed,184
DXB,CCJ,Directed,184
PAT,DEL,Directed,184
DEL,TLV,Directed,309
DEL,CCU,Directed,184
DEL,ATQ,Directed,184
MAA,BOM,Directed,184
IDR,BOM,Directed,184
DEL,PAT,Directed,184
BOM,UDR,Directed,184
DEL,HYD,Directed,309
SIN,BOM,Directed,309
BLR,BOM,Directed,184
CCU,DEL,Directed,309
BOM,DEL,Directed,184
DEL,MAA,Directed,184
COK,JED,Directed,309
MAA,DEL,Directed,184
HYD,VGA,Directed,184
MAA,AMD,Directed,184
VNS,DEL,Directed,184
MLE,TRV,Directed,184
BOM,GOI,Directed,184
VTZ,HYD,Directed,184
GAU,BLR,Directed,184
CCU,IXA,Directed,184
LKO,DXB,Directed,184
IXC,SHJ,Directed,184
ATQ,DXB,Directed,184
AAN,CCJ,Directed,184
BAH,CCJ,Directed,184
TRZ,SIN,Directed,184
SHJ,CCJ,Directed,184
VNS,SHJ,Directed,184
DOH,CCJ,Directed,184
TRV,DXB,Directed,184
COK,AUH,Directed,184
TRV,AUH,Directed,184
KWI,CCJ,Directed,184
SIN,IXM,Directed,184
YUL,YQB,Directed,184
BKK,MXP,Directed,309
MXP,FCO,Directed,184
MXP,PMO,Directed,184
MXP,JFK,Directed,309
OLB,FCO,Directed,184
MXP,SUF,Directed,184
RGN,MDL,Directed,184
MFM,PEK,Directed,184
MFM,CZX,Directed,184
TYN,MFM,Directed,184
MFM,SHA,Directed,184
MFM,BKK,Directed,184
HFE,MFM,Directed,184
KWE,MFM,Directed,184
MFM,HGH,Directed,184
MFM,DAD,Directed,184
MFM,TPE,Directed,184
PEK,MFM,Directed,184
MFM,HAN,Directed,184
TPE,MFM,Directed,184
SEN,CTA,Directed,184
AMS,MLA,Directed,184
LHR,MLA,Directed,184
LGW,MLA,Directed,184
MLA,LIN,Directed,184
MUC,MLA,Directed,184
MLA,MUC,Directed,184
SIN,MRU,Directed,309
NBO,MRU,Directed,184
KIV,STN,Directed,184
KIV,VCE,Directed,184
KIV,DME,Directed,184
WDH,JNB,Directed,184
IAH,AKL,Directed,309
YVR,AKL,Directed,309
SFO,AKL,Directed,309
LAX,AKL,Directed,309
PVG,AKL,Directed,309
AKL,LAX,Directed,309
AKL,IAH,Directed,309
AKL,SFO,Directed,309
HKG,AKL,Directed,309
AKL,HNL,Directed,309
NRT,AKL,Directed,309
AKL,LAX,Directed,309
MEL,CHC,Directed,184
AKL,HKG,Directed,309
TPE,AKL,Directed,309
AKL,PVG,Directed,309
SIN,AKL,Directed,309
HKG,POM,Directed,309
LOS,ABV,Directed,184
ICN,REP,Directed,184
NRT,ICN,Directed,184
ICN,BKI,Directed,184
ICN,GUM,Directed,184
ICN,HKG,Directed,184
JNB,SEZ,Directed,184
CDG,LAX,Directed,309
PPT,LAX,Directed,309
TKQ,DAR,Directed,184
GLA,YYZ,Directed,309
CDG,YUL,Directed,309
YUL,MBJ,Directed,309
LGW,YYZ,Directed,309
YUL,YEG,Directed,184
YQB,FLL,Directed,184
SEA,CVG,Directed,309
DFW,ABE,Directed,309
ONT,RFD,Directed,309
ABE,RFD,Directed,309
ABE,CVG,Directed,309
SMF,ABE,Directed,309
LIS,LBG,Directed,184
GVA,IST,Directed,184
GOT,HAJ,Directed,11
MNL,ICN,Directed,184
KUL,SZX,Directed,184
DMK,HGH,Directed,184
NNG,KUL,Directed,184
DMK,NGB,Directed,184
MFM,DMK,Directed,184
CGK,DMK,Directed,184
DPS,KUL,Directed,184
KMG,KUL,Directed,184
KUL,LOP,Directed,184
CNX,MFM,Directed,184
HKG,KUL,Directed,184
UTP,HAK,Directed,184
TWU,KUL,Directed,184
KUL,DPS,Directed,184
MNL,DMK,Directed,184
KUL,LBU,Directed,184
BKI,WUH,Directed,184
KHH,MNL,Directed,184
