JYH,NKG,HAK,B738,Medium
JYH,CGQ,NKG,B38M,Medium
JYH,NKG,KWE,B738,Medium
JYH,HFE,LHW,B738,Medium
JYH,DLC,WUX,B738,Medium
JYH,RGN,CAN,B738,Medium
JYH,HRB,WNZ,B738,Medium
JYH,SHE,CGO,B738,Medium
ABX,CVG,SEA,B762,Heavy
ABX,SJO,MIA,B763,Heavy
ABX,BDL,CVG,B762,Heavy
ADR,MUC,BIO,A319,Medium
ADR,OTP,MUC,A319,Medium
ADR,LJU,TRD,CRJ9,Medium
ADR,GOT,MUC,A319,Medium
ADR,LJU,SKP,CRJ7,Medium
ADR,VIE,KIV,CRJ9,Medium
ADR,TIA,FRA,CRJ9,Medium
ADR,PRN,VIE,CRJ9,Medium
ADR,LJU,ZRH,CRJ7,Medium
AEE,ATH,BOD,A320,Medium
AEE,ZRH,ATH,A321,Medium
AEE,MXP,ATH,A320,Medium
AEE,PRG,ATH,A320,Medium
AEE,BRU,ATH,A320,Medium
AEE,TXL,ATH,A320,Medium
AEE,BCN,ATH,A320,Medium
AEE,CPH,ATH,A320,Medium
AEE,STR,ATH,A320,Medium
AEE,CDG,ATH,A321,Medium
AEE,NCE,ATH,A320,Medium
AEE,LGW,ATH,A320,Medium
AEE,ATH,LCA,A321,Medium
AEE,ATH,TLS,A320,Medium
AEE,ATH,LYS,A320,Medium
AEE,AMS,ATH,A321,Medium
AEE,ATH,CDG,A320,Medium
AEE,ATH,RHO,A320,Medium
AEE,ATH,LHR,A321,Medium
AEE,SXF,SPU,A320,Medium
AEE,DUS,SKG,A320,Medium
AEE,ATH,HAM,A321,Medium
AEE,ATH,MRS,A320,Medium
AEE,DUS,ATH,A320,Medium
AEE,MAD,ATH,A321,Medium
AEE,EDI,ATH,A320,Medium
AEE,SKG,RHO,A320,Medium
EIN,LAX,DUB,A332,Heavy
EIN,AGP,ORK,A320,Medium
EIN,BCN,DUB,A320,Medium
EIN,GVA,DUB,A320,Medium
EIN,TXL,DUB,A320,Medium
EIN,FCO,DUB,A320,Medium
EIN,LIN,DUB,A320,Medium
EIN,VIE,DUB,A320,Medium
EIN,DUB,JFK,A333,Heavy
EIN,ORK,CDG,A320,Medium
EIN,MAD,DUB,A320,Medium
EIN,LHR,BHD,A320,Medium
EIN,DUB,SCQ,A320,Medium
EIN,DUB,LCY,RJ85,Medium
EIN,DUB,ORD,A333,Heavy
EIN,DUB,BOS,A333,Heavy
EIN,AGP,DUB,A320,Medium
EIN,LIS,DUB,A321,Medium
EIN,LHR,DUB,A320,Medium
EIN,ORK,LHR,A320,Medium
EIN,SNN,BOS,B752,Medium
EIN,DUB,BHX,A320,Medium
EIN,DUB,LYS,A320,Medium
EIN,BRS,DUB,AT76,Medium
EIN,EDI,DUB,AT76,Medium
EIN,DUB,LHR,A320,Medium
EIN,DUB,KIR,AT76,Medium
EIN,LHR,DUB,A320,Medium
EIN,SOU,ORK,AT76,Medium
EIN,DUB,MAN,A320,Medium
EIN,AMS,DUB,A320,Medium
AFL,BKK,SVO,B77W,Heavy
AFL,PVG,SVO,B77W,Heavy
AFL,HKG,SVO,B77W,Heavy
AFL,HAN,SVO,B77W,Heavy
AFL,VVO,SVO,A333,Heavy
AFL,SGN,SVO,B77W,Heavy
AFL,SVO,BKK,A333,Heavy
AFL,CAN,SVO,A333,Heavy
AFL,NRT,SVO,A333,Heavy
AFL,KHV,SVO,A333,Heavy
AFL,SVO,HAV,A332,Heavy
AFL,ICN,SVO,B77W,Heavy
AFL,HKT,SVO,B77W,Heavy
AFL,BKK,SVO,B77W,Heavy
AFL,SVO,PVG,B77W,Heavy
AFL,MLE,SVO,A333,Heavy
AFL,SVO,JFK,B77W,Heavy
AFL,SVO,MIA,A333,Heavy
AFL,SVO,FCO,A321,Medium
AFL,SVO,DXB,B738,Medium
AFL,SVO,KJA,B738,Medium
AFL,IST,SVO,A321,Medium
AFL,SVO,LAX,A332,Heavy
AFL,SVO,MXP,A321,Medium
AFL,SVO,PEK,B77W,Heavy
AFL,VRN,SVO,A320,Medium
AFL,SVO,TFS,A333,Heavy
AFL,OVB,SVO,A320,Medium
AFL,SVO,DUS,A320,Medium
AFL,OMS,SVO,A320,Medium
AFL,SVO,IST,A320,Medium
AFL,SGC,SVO,B738,Medium
AFL,SVO,AYT,A320,Medium
AFL,TLV,SVO,A321,Medium
AFL,ZAG,SVO,SU95,Medium
AFL,ALA,SVO,A321,Medium
AFL,FRA,SVO,A321,Medium
AFL,FCO,SVO,B738,Medium
AFL,SIP,SVO,A320,Medium
AFL,AER,SVO,A321,Medium
AFL,SVO,PEE,SU95,Medium
AFL,SVO,CDG,B738,Medium
AFL,OGZ,SVO,A320,Medium
AFL,MAD,SVO,A321,Medium
AFL,SVO,BCN,B738,Medium
AFL,SVO,PRG,SU95,Medium
AFL,SVO,SVX,A320,Medium
AFL,SVO,AER,A321,Medium
AFL,TAS,SVO,A333,Heavy
AFL,OTP,SVO,SU95,Medium
AFL,LHR,SVO,A321,Medium
AFL,SVO,MRV,A320,Medium
AFL,LJU,SVO,SU95,Medium
AFL,LYS,SVO,B738,Medium
AFL,STW,SVO,SU95,Medium
AFL,NAP,SVO,A320,Medium
AFL,BLQ,SVO,B738,Medium
AFL,MXP,SVO,A321,Medium
AFL,STR,SVO,A320,Medium
AFL,SVO,LCA,A320,Medium
AFL,VOG,SVO,B738,Medium
AFL,SVO,LED,B738,Medium
AFL,SOF,SVO,A320,Medium
AFL,VLC,SVO,A320,Medium
AFL,SVO,NAL,A320,Medium
